0.000128  	 1 
0.000266  	 2 
0.000383  	 3 
0.00053  	 4 
0.000756  	 5 
0.001029  	 6 
0.001357  	 7 
0.001756  	 8 
0.002252  	 9 
0.002818  	 10 
0.003019  	 11 
0.003249  	 12 
0.003514  	 13 
0.003824  	 14 
0.004183  	 15 
0.004592  	 16 
0.005061  	 17 
0.005594  	 18 
0.006184  	 19 
0.006854  	 20 
0.0076  	 21 
0.008421  	 22 
0.00933  	 23 
0.01032  	 24 
0.011438  	 25 
0.012647  	 26 
0.01402  	 27 
0.015472  	 28 
0.017036  	 29 
0.018793  	 30 
0.020627  	 31 
0.022627  	 32 
0.024779  	 33 
0.027096  	 34 
0.02958  	 35 
0.032241  	 36 
0.035116  	 37 
0.038168  	 38 
0.041453  	 39 
0.04493  	 40 
0.048703  	 41 
0.052628  	 42 
0.056848  	 43 
0.061283  	 44 
0.065976  	 45 
0.070939  	 46 
0.076171  	 47 
0.081699  	 48 
0.087637  	 49 
0.093824  	 50 
0.100329  	 51 
0.107181  	 52 
0.114356  	 53 
0.121891  	 54 
0.130305  	 55 
0.138601  	 56 
0.147291  	 57 
0.156385  	 58 
0.165938  	 59 
0.175874  	 60 
0.186268  	 61 
0.19714  	 62 
0.20849  	 63 
0.220407  	 64 
0.232798  	 65 
0.245659  	 66 
0.25916  	 67 
0.27312  	 68 
0.287678  	 69 
0.302769  	 70 
0.318419  	 71 
0.334721  	 72 
0.351715  	 73 
0.369305  	 74 
0.38758  	 75 
0.406449  	 76 
0.426043  	 77 
0.446261  	 78 
0.467303  	 79 
0.489043  	 80 
0.511552  	 81 
0.534901  	 82 
0.559032  	 83 
0.583858  	 84 
0.610141  	 85 
0.636629  	 86 
0.664139  	 87 
0.692933  	 88 
0.722181  	 89 
0.752223  	 90 
0.783333  	 91 
0.815201  	 92 
0.848277  	 93 
0.88229  	 94 
0.917361  	 95 
0.953411  	 96 
0.990608  	 97 
1.02867  	 98 
1.0681  	 99 
1.10843  	 100 
1.15016  	 101 
1.19282  	 102 
1.23917  	 103 
1.28469  	 104 
1.33123  	 105 
1.37888  	 106 
1.4279  	 107 
1.47786  	 108 
1.52958  	 109 
1.58247  	 110 
1.63684  	 111 
1.69229  	 112 
1.74953  	 113 
1.80911  	 114 
1.87038  	 115 
1.93365  	 116 
1.9986  	 117 
2.06488  	 118 
2.13393  	 119 
2.20228  	 120 
2.27313  	 121 
2.34534  	 122 
2.41911  	 123 
2.49481  	 124 
2.57403  	 125 
2.65346  	 126 
2.73761  	 127 
2.81899  	 128 
2.90538  	 129 
2.99122  	 130 
3.08051  	 131 
3.16934  	 132 
3.2611  	 133 
3.35441  	 134 
3.44943  	 135 
3.55022  	 136 
3.65059  	 137 
3.75416  	 138 
3.85784  	 139 
3.96458  	 140 
4.07202  	 141 
4.18171  	 142 
4.29919  	 143 
4.41458  	 144 
4.53426  	 145 
4.65351  	 146 
4.77502  	 147 
4.89978  	 148 
5.02813  	 149 
5.15534  	 150 
5.29049  	 151 
5.4264  	 152 
5.56201  	 153 
5.69924  	 154 
5.83922  	 155 
5.98295  	 156 
6.13004  	 157 
6.27775  	 158 
6.42823  	 159 
6.58307  	 160 
6.74043  	 161 
6.89894  	 162 
7.06169  	 163 
7.22634  	 164 
7.39417  	 165 
7.56501  	 166 
7.74217  	 167 
7.92463  	 168 
8.10764  	 169 
8.29  	 170 
8.47613  	 171 
8.66459  	 172 
8.86148  	 173 
9.05659  	 174 
9.25978  	 175 
9.46051  	 176 
9.66581  	 177 
9.87427  	 178 
10.0868  	 179 
10.3049  	 180 
10.5234  	 181 
10.7443  	 182 
10.9714  	 183 
11.1994  	 184 
11.432  	 185 
11.6675  	 186 
11.9072  	 187 
12.1512  	 188 
12.3992  	 189 
12.6496  	 190 
12.905  	 191 
13.1635  	 192 
13.4266  	 193 
13.6923  	 194 
13.9629  	 195 
14.2372  	 196 
14.5161  	 197 
14.7978  	 198 
15.0852  	 199 
15.3757  	 200 
15.671  	 201 
15.9697  	 202 
16.2744  	 203 
16.5823  	 204 
16.8956  	 205 
17.2119  	 206 
17.5348  	 207 
17.8606  	 208 
18.193  	 209 
18.5279  	 210 
18.8686  	 211 
19.2124  	 212 
19.5617  	 213 
19.9152  	 214 
20.2746  	 215 
20.6377  	 216 
21.0066  	 217 
21.3794  	 218 
21.7589  	 219 
22.1437  	 220 
22.5352  	 221 
22.9326  	 222 
23.3345  	 223 
23.7408  	 224 
24.1528  	 225 
24.5693  	 226 
24.9939  	 227 
25.4234  	 228 
25.8595  	 229 
26.2977  	 230 
26.7433  	 231 
27.1928  	 232 
27.6493  	 233 
28.112  	 234 
28.5772  	 235 
29.0475  	 236 
29.5288  	 237 
30.0186  	 238 
30.5162  	 239 
31.0154  	 240 
31.5254  	 241 
32.033  	 242 
32.5525  	 243 
33.0735  	 244 
33.6028  	 245 
34.1368  	 246 
34.6787  	 247 
35.2237  	 248 
35.777  	 249 
36.3367  	 250 
36.9056  	 251 
37.4785  	 252 
38.0598  	 253 
38.6473  	 254 
39.2427  	 255 
39.8436  	 256 
40.452  	 257 
41.0659  	 258 
41.6957  	 259 
42.3293  	 260 
42.9663  	 261 
43.6133  	 262 
44.2755  	 263 
44.9384  	 264 
45.6086  	 265 
46.2899  	 266 
46.9735  	 267 
47.6629  	 268 
48.3583  	 269 
49.0693  	 270 
49.7926  	 271 
50.5157  	 272 
51.2559  	 273 
52.0061  	 274 
52.7641  	 275 
53.5304  	 276 
54.3032  	 277 
55.08  	 278 
55.8636  	 279 
56.6471  	 280 
57.4418  	 281 
